{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'jupyter-notebook.exe', 'pid': 20156, 'username': 'RAMBO-2684\\Legion'}
{'name': 'RuntimeBroker.exe', 'pid': 20192, 'username': 'RAMBO-2684\\Legion'}
{'name': 'cmd.exe', 'pid': 20324, 'username': 'RAMBO-2684\\Legion'}
{'name': 'python.exe', 'pid': 20448, 'username': 'RAMBO-2684\\Legion'}
{'name': 'YourPhoneServer.exe', 'pid': 20584, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 20612, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 20620, 'username': 'RAMBO-2684\\Legion'}
{'name': 'CompPkgSrv.exe', 'pid': 20764, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 20860, 'username': 'RAMBO-2684\\Legion'}
{'name': 'WmiPrvSE.exe', 'pid': 20932, 'username': None}
{'name': 'conhost.exe', 'pid': 20956, 'username': 'RAMBO-2684\\Legion'}
{'name': 'conhost.exe', 'pid': 21068, 'username': 'RAMBO-2684\\Legion'}
{'name': 'msedge.exe', 'pid': 21124, 'username': 'RAMBO-2684\\Legion'}
{'name': 'LSB.exe', 'pid': 21136, 'username': 'RAMBO-2684\\Legion'}
{'name': 'chrome.exe', 'pid': 21236, 'username': 'RAMBO-2684\\Legion'}
{'name': 'SAPISSVC.EXE', 'pid': 21420, 'username': None}
