{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 17192, 'name': 'svchost.exe', 'username': None}
{'pid': 17248, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17296, 'name': 'csrss.exe', 'username': None}
{'pid': 17368, 'name': 'ctfmon.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17496, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17712, 'name': 'SecurityHealthService.exe', 'username': None}
{'pid': 17800, 'name': 'dllhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17828, 'name': 'jupyter-notebook.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17932, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 17968, 'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'username': None}
{'pid': 17980, 'name': 'cmd.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18020, 'name': 'svchost.exe', 'username': None}
{'pid': 18036, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18096, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18104, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18332, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18340, 'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18660, 'name': 'svchost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18804, 'name': 'svchost.exe', 'username': None}
{'pid': 18816, 'name': 'svchost.exe', 'username': None}
{'pid': 18940, 'name': 'StartMenuExperienceHost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 18944, 'name': 'DSATray.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19156, 'name': 'explorer.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19272, 'name': 'conhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19284, 'name': 'jupyter-notebook.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19368, 'name': 'mcapexe.exe', 'username': None}
{'pid': 19380, 'name': 'fontdrvhost.exe', 'username': None}
{'pid': 19624, 'name': 'Lenovo.Modern.ImController.PluginHost.Device.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19644, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19764, 'name': 'ApplicationFrameHost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 19972, 'name': 'svchost.exe', 'username': None}
{'pid': 20096, 'name': 'ShellExperienceHost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20156, 'name': 'jupyter-notebook.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20192, 'name': 'RuntimeBroker.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20320, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20448, 'name': 'python.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20568, 'name': 'conhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20584, 'name': 'YourPhoneServer.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20764, 'name': 'CompPkgSrv.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20820, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20852, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 20956, 'name': 'conhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 21068, 'name': 'conhost.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 21136, 'name': 'LSB.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 21172, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 21416, 'name': 'msedge.exe', 'username': 'RAMBO-2684\\Legion'}
{'pid': 21420, 'name': 'SAPISSVC.EXE', 'username': None}
